id,Chinese,English,Status
2933,炯,bright/clear,1
2934,竿,pole,1
2935,慷,generous/magnanimous,1
2936,虞,forewarned/peace/worry,1
2937,锤,to hammer/weight of steel yard,1
2938,栓,bottle stopper/wooden pin/plug,1
2939,桨,oar/paddle,1
2940,蚊,mosquito,1
2941,磅,a measure word/pound (unit of measurement)/scale/weigh,1
2942,孽,consequence of sin,1
2943,惭,ashamed,1
2944,戳,poke/pierce/prick/wooden or rubber stamp or seal,1
2945,禀,natural property or endowment/report to (a superior),1
2946,鄂,hupeh,1
2947,馈,food/make a present,1
2948,垣,wall,1
2949,溅,splash,1
2950,咚,boom (of a drum),1
2951,钙,calcium,1
2952,礁,reef/shoal rock,1
2953,彰,manifest,1
2954,豁,"play Chinese finger game, opening/stake all/sacrifice/crack/slit, clear/open/exempt (from)/liberal-minded",1
2955,眯,"to squint, blind (as with dust)",1
2956,磷,phosphorus/water in rocks,1
2957,雯,multicolored clouds,1
2958,墟,old burial grounds,1
2959,迂,literal-minded,1
2960,瞻,gaze/view,1
2961,颅,forehead/skull,1
2962,琉,precious stone,1
2963,悼,mourn/lament,1
2964,蝴,butterfly,1
2965,拣,choose/pick up,1
2966,渺,vague/remote,1
2967,眷,concern/wife and children,1
2968,悯,sympathize/to pity,1
2969,汰,to discard/to eliminate/too,1
2970,慑,afraid/be feared/to fear/to frighten/to intimidate,1
2971,婶,wife of father's younger brother,1
2972,斐,(phonetic)/(surname)/elegant,1
2973,嘘,exhale/hiss,1
2974,镶,to inlay/to embed/ridge/border,1
2975,炕,kang (a heatable brick bed),1
2976,宦,an official,1
2977,趴,to lie on one's stomach,1
2978,绷,"to stretch/taut/to tie/to bind, to have a taut face",1
2979,窘,distressed/embarrassed,1
2980,襄,assist,1
2981,珀,amber,1
2982,嚣,clamor,1
2983,拚,"disregard/reject, stake all",1
2984,酌,consider/pour wine,1
2985,浊,impure/muddy,1
2986,毓,nourish/rear,1
2987,撼,shake/to incite,1
2988,嗜,addicted to/fond of,1
2989,扛,"lift overhead with both hands, carry on one's shoulder",1
2990,峭,steep hill,1
2991,磕,to tap/knock,1
2992,翘,outstanding/to raise,1
2993,槽,manger/trough/groove,1
2994,淌,drip/to shed (tears),1
2995,栅,fence,1
2996,颓,become bald/decadent,1
2997,熏,to smoke/scent/fumigate,1
2998,瑛,(crystal)/lustrous,1
2999,颐,cheeks/nourish,1
3000,忖,ponder/consider/guess,1
3001,牡,male,1
3002,缀,,1
3003,徊,irresolute/move back and forth,1
3004,梨,pear,1
3005,肪,animal fat,1
3006,涕,nasal mucus/tears,1
3007,惫,exhausted,1
3008,摹,imitate/copy,1
3009,踱,,1
3010,肘,elbow/pork shoulder,1
3011,熔,to smelt/fuse,1
3012,挚,(surname)/sincere,1
3013,氯,chlorine,1
3014,凛,shiver with cold or fear,1
3015,绎,continuous/explain/unravel,1
3016,庶,ordinary,1
3017,脯,"candied fruit, chest (thorax)",1
3018,迭,alternately/repeatedly,1
3019,睦,friendly,1
3020,窍,intelligence/opening,1
3021,粥,congee/gruel/porridge,1
3022,庵,hut/Buddhist convent/small Buddhist temple,1
3023,沧,blue/green(color of water)/cold/vast (of water),1
3024,怠,idle/lazy/negligent/careless,1
3025,沁,name of a river,1
3026,奕,abundant/graceful,1
3027,咙,throat,1
3028,氨,ammonia,1
3029,矗,lofty/upright,1
3030,盔,helmet,1
3031,拇,thumb,1
3032,沛,copious/abundant,1
3033,榻,couch,1
3034,揣,"put into, estimate/guess/figure/surmise",1
3035,崭,precipitous peak,1
3036,鞘,scabbard/sheath,1
3037,鞠,to bring up/to rear/Ju (a surname),1
3038,垦,reclaim (land),1
3039,洽,accord/make contact,1
3040,唾,saliva/spit at,1
3041,橱,a wardrobe/case/cabinet,1
3042,仕,an official,1
3043,蜘,spider,1
3044,痰,phlegm/spittle,1
3045,袜,socks/stockings,1
3046,峙,peak/to store,1
3047,柬,card/note/letter,1
3048,蝉,cicada,1
3049,蟹,crab,1
3050,谏,admonish,1
3051,鹃,cuckoo,1
3052,擎,to raise (hand),1
3053,皓,bright/d (19th)/white,1
3054,朕,I/we (imperial use)/subtle,1
3055,疤,scar,1
3056,禺,(place)/district,1
3057,铲,"level off/root up, spade/shovel",1
3058,酶,enzyme/ferment,1
3059,钝,blunt/stupid,1
3060,氓,"vagrant/ruffian, people",1
3061,匣,box,1
3062,弧,arc,1
3063,峨,lofty/name of a mountain,1
3064,锥,awl/to bore,1
3065,揪,to clutch,1
3066,杠,"footbridge, carrying pole/horizontal bar",1
3067,吭,throat,1
3068,崛,towering as a peak,1
3069,诬,accuse falsely,1
3070,冉,(surname)/passing (of time),1
3071,抒,to strain/pour out,1
3072,庚,7th heavenly stem/age,1
3073,悍,violent,1
3074,靡,"wasted, extravagant/go with fashion/not",1
3075,晦,dark/night/unlucky,1
3076,醋,vinegar,1
3077,壕,air-raid shelter/trench,1
3078,锯,"to mend (china) with staples, a saw/to saw",1
3079,夭,tender/gentle/to die prematurely,1
3080,咦,expression of surprise,1
3081,侈,extravagant/wasteful/exaggerating,1
3082,婢,slave girl/maid servant,1
3083,猾,sly,1
3084,徘,irresolute,1
3085,硝,saltpeter/to tan (leather),1
3086,煽,fan into a flame/incite,1
3087,皂,black,1
3088,舵,helm/rudder,1
3089,嗦,suck,1
3090,狈,a legendary wolf/distressed/wretched,1
3091,靴,boots,1
3092,捂,"resist, (v) seal up; muffle",1
3093,疮,sore/skin ulcer,1
3094,郝,(surname)/ancient place name,1
3095,苛,severe/exacting,1
3096,秽,dirt/filth,1
3097,茜,Rubia cordiolia,1
3098,搓,to rub or roll between the hands or fingers/to twist,1
3099,芸,Ruta graveolens,1
3100,酱,jam/thick sauce,1
3101,赁,to rent,1
3102,檐,eaves,1
3103,饷,soldier's pay,1
3104,蕉,banana,1
3105,铀,uranium,1
3106,苔,"coating (of tongue), moss",1
3107,赦,to pardon (a convict),1
3108,缎,satin,1
3109,舷,sides of boat,1
3110,筷,chopstick,1
3111,朔,beginning/first day of lunar month,1
3112,婪,avaricious,1
3113,紊,"involved/tangled/disorder, involved/tangled",1
3114,厮,,1
3115,婿,son-in-law,1
3116,寥,empty/lonesome/very few,1
3117,兢,to be fearful/apprehensive,1
3118,糙,rough/coarse (in texture),1
3119,卦,divinatory trigram,1
3120,槐,Sophora japonica,1
3121,扒,"climb/pull (out)/to strip/hold on to/cling to/dig up/rake/push aside, climb/crawl/snatch",1
3122,裴,(surname),1
3123,祀,offer sacrifice to,1
3124,埔,port,1
3125,絮,line with cotton wadding,1
3126,芭,a herb/banana,1
3127,屉,drawer/tier/tray,1
3128,痪,illness/numbness of the limbs,1
3129,霄,firmament/heaven,1
3130,绽,ripped seam,1
3131,宵,night,1
3132,邑,city,1
3133,霖,continued rain,1
3134,岔,branch in a road/astray/diverge,1
3135,饵,bait/cakes,1
3136,茄,eggplant,1
3137,韧,annealed/pliable but strong/tough/tenacious,1
3138,琪,(white gem)/angel,1
3139,邹,(surname)/name of district in Shandong,1
3140,瑚,coral,1
3141,憋,hold in (urine)/to hold (breath)/to choke/stifle/restrain/hold back,1
3142,殆,dangerous/perilous/endanger/almost/probably/only,1
3143,噜,grumble/chatter,1
3144,忒,excessive/to change,1
3145,忿,vehement,1
3146,衅,offer blood in sacrifice,1
3147,淳,genuine/pure/honest,1
3148,悖,perverse/rebellious/to rebel,1
3149,髦,bang (hair)/fashionable/mane,1
3150,孜,hard-working/industrious,1
3151,粤,Cantonese/Guangdong,1
3152,隘,a pass or defile/narrow/confined/in distress,1
3153,濒,near,1
3154,铮,clang of metals/small gong,1
3155,畸,fractional remains/odd,1
3156,剔,pick (as teeth),1
3157,坞,dock/low wall,1
3158,篱,a fence,1
3159,淀,"shallow water, sediment/precipitate",1
3160,蓦,leap on or over/suddenly,1
3161,唬,intimidate/tiger's roar/to fool,1
3162,锣,gong,1
3163,汀,sand-bank,1
3164,趾,toe,1
3165,缉,to stitch finely,1
3166,嫦,a legendary beauty who flew to the moon/the lady in the moon,1
3167,斟,pour/to deliberate,1
3168,鞍,saddle,1
3169,扳,"to pull or draw (up or out), climb up/pull",1
3170,拴,tie up,1
3171,诅,curse/swear (oath),1
3172,谟,plan/to practice,1
3173,呃,hiccough,1
3174,懦,imbecile/timid,1
3175,逞,please oneself/presume on/boast,1
3176,犁,plow,1
3177,忏,feel remorse/regret/repent,1
3178,拧,"to pinch/wring, mistake/to twist, stubborn",1
3179,亥,12th earthly branch/9-11 p.m.,1
3180,佟,(surname),1
3181,叱,to scold/shout at/to hoot at,1
3182,舜,name of an emperor,1
3183,绊,to trip/stumble/hinder,1
3184,龚,(surname),1
3185,腮,gills/lower part of cheeks,1
3186,邸,(surname)/lodging-house,1
3187,椒,pepper,1
3188,蔚,"Artemisia japonica/luxuriant, (surname)/place name",1
3189,湛,deep/clear (water),1
3190,狩,hunting-dog/imperial tour,1
3191,眶,eye socket,1
3192,栈,warehouse,1
3193,薇,,1
3194,肮,"filthy, dirty/filthy",1
3195,瀑,"shower (rain), waterfall",1
3196,渣,dregs,1
3197,褂,coat,1
3198,叽,grumble,1
3199,臀,butt/buttocks,1
3200,妞,little girl,1
3201,巍,high/lofty/towering/majestic,1
3202,唔,,1
3203,疚,chronic disease,1
3204,鲤,carp,1
3205,戎,(surname)/weapon,1
3206,肇,at first/devise/originate,1
3207,笃,serious (illness)/sincere/true,1
3208,辙,"to remove/to withdraw, rut/track",1
3209,娴,elegant/refined,1
3210,阮,Ruan (a surname),1
3211,札,"write down, short note",1
3212,懊,to regret,1
3213,焘,cover over/to envelope,1
3214,恤,give relief/sympathy,1
3215,疹,measles/rash,1
3216,潇,river name/sound of rain and wind,1
3217,铝,aluminum,1
3218,涤,wash/cleanse,1
3219,恃,rely upon,1
3220,喽,"subordinates in gang of bandits, (part. expressing chagrin or resentment)",1
3221,砌,to build by laying bricks or stones,1
3222,遁,disappear/to escape,1
3223,楞,corner/square beam,1
3224,阱,hole/pitfall,1
3225,咎,blame,1
3226,洼,"winding ditch, depression/sunken/swamp",1
3227,炳,bright/brilliant/luminous,1
3228,噬,devour/to bite,1
3229,枫,maple,1
3230,拷,to beat/to flog/to examine by torture,1
3231,哆,quiver/woolen cloth,1
3232,矶,breakwater/jetty,1
3233,苇,reed/rush/Phragmites communis,1
3234,翩,fly fast,1
3235,窒,obstruct/stop up,1
3236,侬,you (Shanghai dial.),1
3237,靶,target/mark,1
3238,胰,soap,1
3239,芜,overgrown with weeds,1
3240,辫,a braid or queue/to plait,1
3241,嚎,howl/bawl,1
3242,妾,concubine,1
3243,幌,advertising sign,1
3244,踉,"jump, stagger/sway from side to side",1
3245,佃,farmer,1
3246,葫,Allium scorodoprasum/bottle gourd,1
3247,皖,Anhui,1
3248,拽,"drag, throw, drag",1
3249,滤,to strain/to filter,1
3250,睬,pay attention/take notice of/to care for,1
3251,俞,(surname)/accede,1
3252,匕,"an ancient type of spoon, dagger/ladle",1
3253,谤,to slander/defame/speak ill of,1
3254,嗤,laugh at/jeer/scoff at/sneer at,1
3255,捍,ward off (a blow),1
3256,孵,hatch,1
3257,倪,(surname),1
3258,瘾,addiction/craving,1
3259,敝,my (polite)/poor/ruined/shabby/worn out/defeated,1
3260,匡,correct,1
3261,磋,deliberate/to polish,1
3262,绫,damask/thin silk,1
3263,淆,,1
3264,尧,(surname)/emperor Yao,1
3265,蕊,stamen/pistil,1
3266,烘,bake/heat by fire,1
3267,璋,ancient stone ornament,1
3268,亢,overbearing,1
3269,轧,crush/in the first place,1
3270,赂,bribe/bribery,1
3271,蝗,locust,1
3272,榆,elm,1
3273,骏,spirited horse,1
3274,诛,execute/punish,1
3275,勺,spoon,1
3276,梵,Brahma/Sanskrit,1
3277,炽,flame/blaze,1
3278,笠,bamboo rain hat,1
3279,颌,maxilla and mandible,1
3280,闸,gear/watergate,1
3281,狒,hamadryad baboon,1
3282,樊,(surname)/cage/fence,1
3283,镕,,1
3284,垢,dirt/disgrace,1
3285,瘟,epidemic/pestilence/plague,1
3286,缪,"(surname), to wind round",1
3287,菇,mushroom,1
3288,琦,curio/valuable stone,1
3289,剃,"shave, shave/to weed",1
3290,迸,to burst forth/to spurt/to crack/split,1
3291,溺,"drown/indulge/be addicted to/spoil (a child), urinate/urine",1
3292,炫,"dazzle/to show off, to boast/to show off",1
3293,惚,indistinct,1
3294,嗨,oh alas,1
3295,陨,fall/meteor/perish,1
3296,赃,booty/spoils,1
3297,羁,halter/restrain,1
3298,臻,to reach/utmost,1
3299,嘀,backbite,1
3300,膳,meals,1
3301,赣,Jiangxi,1
3302,踌,pace back and forth/hesitate/waver,1
3303,殉,buried with dead/die for a cause,1
3304,桔,"Platycodon grandiflorus, tangerine",1
3305,瞿,"startled, (surname)",1
3306,闽,(N) abbreviation for Fujian Province,1
3307,豚,suckling pig,1
3308,掺,"mix, to grasp",1
3309,沌,confused/turbid,1
3310,惰,lazy,1
3311,喳,twitter/chirp,1
3312,椭,ellipse,1
3313,咪,sound to call cat,1
3314,霎,all of a sudden/drizzle,1
3315,侃,bold,1
3316,猝,abrupt/hurried,1
3317,窖,cellar,1
3318,戮,kill,1
3319,祠,ancestral hall/temple,1
3320,瞩,to gaze at/to stare at,1
3321,菁,flower of leek,1
3322,躇,hesitate,1
3323,佬,male/man (Cantonese),1
3324,肋,rib,1
3325,咄,"noise of rage, cry out in anger",1
3326,忡,grieved/distressed/sad/uneasy,1
3327,雍,(surname)/harmonious,1
3328,忱,sincerity/honesty,1
3329,蕾,bud,1
3330,跄,"walk rapidly, stagger/sway from side to side",1
3331,硅,silicon,1
3332,伎,craft,1
3333,炊,dress food/to steam/to cook food,1
3334,钊,encourage/to cut/to strain,1
3335,蝠,bat,1
3336,屎,stool/feces,1
3337,拭,wipe,1
3338,谛,examine/truth (Buddhist),1
3339,褪,fade/take off (clothes),1
3340,丞,deputy,1
3341,卉,plants,1
3342,隧,subterranean/underground passage,1
3343,茸,confused/fluffy/luxuriant growth,1
3344,钳,pincers/pliers/tongs/claw (of animal)/to grasp with pincers/to pinch/to clamp/to restrain/to restrict/to gag,1
3345,啃,to gnaw/to nibble/to bite,1
3346,伢,child (collequial),1
3347,闺,women's apartment,1
3348,舔,to lick/to lap,1
3349,蹬,step into (as tight shoe),1
3350,挛,twisted/bent/crooked/cramped,1
3351,眺,gaze afar,1
3352,袱,bundle wrapped in cloth,1
3353,陇,Gansu,1
3354,殴,brawl,1
3355,柿,persimmon,1
3356,梧,Sterculia platanifolia,1
3357,惺,tranquil/understand,1
3358,弛,unstring a bow/slacken/relax/loosen,1
3359,侥,by mere luck,1
3360,琛,precious stone/gem,1
3361,捅,poke through,1
3362,酝,to brew,1
3363,薯,potato/yam,1
3364,曳,drag,1
3365,澈,clear (water)/thorough,1
3366,锈,rust,1
3367,稠,dense/crowded/thick/many,1
3368,眸,pupil of the eye,1
3369,咆,to roar,1
3370,簧,metallic reed/spring of lock,1
3371,鸥,common gull,1
3372,疡,ulcers/sores,1
3373,渎,ditch/trouble (some one to do),1
3374,汲,draw water from well,1
3375,嬉,amusement,1
3376,脓,pus,1
3377,骡,mule,1
3378,穗,ear of grain,1
3379,槛,"bar/railing, door sill/threshold",1
3380,拎,to haul/to lift/to take,1
3381,巳,6th earthly branch/9-11 a.m.,1
3382,邢,(surname)/place name,1
3383,廿,twenty,1
3384,搀,assist by the arm/mix/support/sustain,1
3385,曙,dawn/the dawn of a new epoch (metaphor),1
3386,樵,firewood/gather wood,1
3387,隅,corner,1
3388,筛,to filter/to sift/to sieve,1
3389,谒,to visit (a superior),1
3390,倭,Japanese/dwarf,1
3391,痹,"paralysis, numbness, numb/paralysis",1
3392,猖,mad/wild,1
3393,佯,pretend,1
3394,肛,anus,1
3395,奚,what why,1
3396,甭,need not,1
3397,抨,attack/impeach,1
3398,蛾,moth,1
3399,唠,to chatter,1
3400,荧,Polyeonatum officinale/glimmer/glimmering/dazzling/perplexed,1
3401,嵩,lofty/name of a mountain in Henan,1
3402,漱,to rinse (mouth),1
3403,酋,tribal chief,1
3404,攘,throw into confusion,1
3405,诘,investigate/restrain/scold,1
3406,篡,to seize/to usurp,1
3407,睿,astute/perspicacious/farsighted,1
3408,噩,startling,1
3409,怅,regretful/upset/despair/depressed,1
3410,盎,abundant/bowl/dish/pot,1
3411,徙,change one's residence,1
3412,鞅,martingale,1
3413,漓,pattering (of rain)/seep through,1
3414,祟,evil spirit,1
3415,睫,eyelashes,1
3416,攸,"distant, far/adverbial prefix",1
3417,翎,tail feathers,1
3418,呛,"against wind, choke/pungent",1
3419,筐,basket,1
3420,堑,moat around a city,1
3421,檀,sandal wood,1
3422,寅,3-5 a.m./3rd earthly branch,1
3423,磊,lumpy/rock pile/uneven,1
3424,驭,manage/to drive,1
3425,惘,desolate,1
3426,吠,to bark,1
3427,驮,"carry on back, carry on back",1
3428,瑙,agate,1
3429,炬,torch,1
3430,痉,spasm,1
3431,曝,to air/to sun,1
3432,恺,joyful/kind,1
3433,胺,amine,1
3434,萤,firefly,1
3435,敕,imperial orders,1
3436,筝,(mus. instr.),1
3437,幡,banner,1
3438,霹,clap of thunder,1
3439,竺,(surname),1
3440,烙,bake/flat iron/large cake,1
3441,毗,adjoin/border,1
3442,鸠,turtle-dove/Turtur orientalis,1
3443,埠,a jetty/port/a city/quay,1
3444,蒜,garlic,1
3445,阜,abundant/mound,1
3446,嘈,bustling/tumultuous/noisy,1
3447,乒,bing (onomat.),1
3448,帷,curtain/screen,1
3449,啄,to peck,1
3450,鳌,sea turtle,1
3451,毡,felt,1
3452,阙,"deficiency, (surname)/imperial city",1
3453,褥,mattress,1
3454,搔,disturb/to scratch,1
3455,笋,bamboo shoot,1
3456,冕,royal crown,1
3457,狞,fierce-looking,1
3458,韶,(music)/excellent/harmonious,1
3459,骼,skeleton,1
3460,蔼,friendly,1
3461,烹,cuisine/cooking,1
3462,奄,"castrate/to delay, suddenly/to embrace",1
3463,嫖,visit a prostitute,1
3464,沐,bathe/cleanse/receive favors,1
3465,噗,sound of escaping laughter/water,1
3466,岑,a small hill/(a surname),1
3467,蛟,scaly dragon,1
3468,掳,take captive,1
3469,咏,sing,1
3470,弩,cross-bow,1
3471,捻,twirl (in the fingers),1
3472,圃,garden/orchard,1
3473,孚,trust,1
3474,悴,haggard/sad/downcast/distressed,1
3475,诣,go,1
3476,呱,crying sound of child,1
3477,祁,(surname),1
3478,捶,beat with the fist/to hammer/to cudgel,1
3479,钠,sodium,1
3480,袄,coat/jacket/short and lined coat or robe,1
3481,澎,sound of waves,1
3482,氮,nitrogen,1
3483,恪,(surname)/respectful,1
3484,雏,chick/young bird,1
3485,撮,bring together/little bit/shovel/gather up/bring together/pick,1
3486,堰,weir,1
3487,彷,irresolute,1
3488,鹦,parrot,1
3489,晖,bright/radiant,1
3490,犀,rhinoceros,1
3491,腑,internal organs,1
3492,沽,buy/sell,1
3493,橄,olive,1
3494,掐,pick (flowers)/to pinch,1
3495,亵,licentious,1
3496,龋,decayed teeth/dental caries,1
3497,嗒,to despair,1
3498,咀,chew,1
3499,祺,felicity,1
3500,锚,anchor,1
3501,匾,"a tablet/a board with an inscription/a sign hung above a door, basket-couch in coffin",1
3502,乓,bang (onomat.),1
3503,萃,collect/collection/dense/grassy/thick/assemble/gather,1
3504,贻,bequeath,1
3505,揖,greet (by raising the joined hands),1
3506,觑,to spy/watch for,1
3507,吝,stingy,1
3508,憔,haggard,1
3509,羌,educated/name of a tribe/strong,1
3510,诲,admonish/instruct,1
3511,砾,gravel/small stone,1
3512,蠕,to squirm/to wiggle/to wriggle,1
3513,肴,"mixed/viands, meat dishes",1
3514,撩,"lift up (skirt)/pull up (sleeve), stitch/take/tease",1
3515,坍,collapse,1
3516,酥,flaky,1
3517,袅,delicate/graceful,1
3518,黝,black/dark green,1
3519,俾,to cause/to enable,1
3520,嫣,captivating,1
3521,穹,arched/lofty/vast,1
3522,秧,shoots/sprouts,1
3523,妊,be pregnant,1
3524,溉,irrigate,1
3525,鹊,magpie,1
3526,聿,introductory part./pen,1
3527,疙,pimple/wart,1
3528,蘑,mushroom,1
3529,睾,bank/marsh/testicles,1
3530,楷,norm/model/(writing),1
3531,酵,yeast,1
3532,茹,eat/rubicene (chem.),1
3533,锌,zinc,1
3534,滇,Yunnan,1
3535,辗,roll over on side/turn half over,1
3536,纂,compile,1
3537,圭,jade tablet,1
3538,幔,curtain,1
3539,褒,to praise,1
3540,揍,beat up/break to pieces,1
3541,诽,slander,1
3542,倔,crabby/tough,1
3543,腓,calf of leg/decay/protect,1
3544,颉,(surname)/fly upwards/neck,1
3545,锄,a hoe/to hoe or dig/to weed/get rid of,1
3546,嗔,to be angry at,1
3547,磺,sulfur,1
3548,攒,"bring together, collect/hoard",1
3549,瘩,sore/boil/scab,1
3550,雳,clap of thunder,1
3551,吆,shout,1
3552,悚,frightened,1
3553,墩,block/gate pillar/pier,1
3554,彝,normal nature of man/rule,1
3555,囱,window/chimney,1
3556,逍,leisurely/easy-going,1
3557,辄,sides of chariot where weapons,1
3558,桅,mast,1
3559,俨,majestic/dignified,1
3560,纶,classify/silk thread/twist silk,1
3561,悸,afraid,1
3562,殃,calamity,1
3563,帧,frame/one of a pair (scrolls)/picture,1
3564,俐,clever,1
3565,绮,beautiful/open-work silk,1
3566,袒,to bare,1
3567,籽,seeds,1
3568,孰,who/which/what,1
3569,愫,guileless/sincere,1
3570,拌,to mix/mix in/to toss (a salad),1
3571,橙,orange tree/the color orange/orange,1
3572,暨,and/reach to/the end,1
3573,敖,ramble,1
3574,赘,superfluous,1
3575,抉,dig/pick,1
3576,淤,silt,1
3577,剌,"to slash, cruel/obstinate",1
3578,娼,prostitute,1
3579,顼,grieved/anxious,1
3580,葵,sunflower,1
3581,哝,garrulous,1
3582,酣,intoxicated,1
3583,麓,foot of a hill,1
3584,钵,alms bowl/small earthenware basin,1
3585,琅,(gem)/tinkling of pendants,1
3586,簸,"to winnow, dust pan/toss (as waves)",1
3587,禾,cereal/grain,1
3588,铢,forty-eighth part of a tael,1
3589,璧,piece of jade with hole in center,1
3590,娠,pregnant,1
3591,彗,comet,1
3592,惋,"regret, be sorry/alarmed",1
3593,腋,armpit,1
3594,螂,dragonfly/mantis,1
3595,阪,a slope/hillside,1
3596,掣,pull/obstruct/hinder/draw,1
3597,劾,impeach,1
3598,沥,drip,1
3599,粱,sorghum,1
3600,嚓,,1
3601,惮,dread/fear/dislike,1
3602,氖,neon,1
3603,捎,bring or take (along),1
3604,羔,lamb,1
3605,俟,until/wait for,1
3606,渲,wash (color),1
3607,榄,olive,1
3608,茧,cocoon,1
3609,霓,rainbow,1
3610,鹉,parrot,1
3611,胥,all/assist/to store,1
3612,琶,(mus. instr.),1
3613,撬,to lift,1
3614,橘,tangerine,1
3615,醫,,1
3616,拈,,1
3617,笆,an article made of bamboo strips/fence,1
3618,痊,recover (from illness),1
3619,亟,"urgent, repeatedly/frequently",1
3620,渭,name of a river,1
3621,狙,(ape)/to spy/lie in ambush,1
3622,珂,jade-like stone,1
3623,刨,"a plane/to plane/level or make smooth, a plane/to plane, eliminate/to dig/to question",1
3624,蜕,exuviae of insects or reptiles,1
3625,谚,proverb,1
3626,憧,irresolute/unsettled,1
3627,瞟,cast a glance,1
3628,馒,steamed bread,1
3629,拗,"bend/break in two, stubborn/contrary",1
3630,帚,broom,1
3631,钗,hairpin,1
3632,哧,,1
3633,喋,flowing flood/to chatter,1
3634,箫,(flute)/pan pipes/xiao - a vertical bamboo flute,1
3635,刁,artful/wicked,1
3636,怦,impulsive,1
3637,缭,lines for a sail/wind round,1
3638,迥,distant,1
3639,湄,brink/edge,1
3640,磐,firm/stable/rock,1
3641,渝,Chongqing,1
3642,冗,extraneous,1
3643,闵,(surname)/feel compassion for,1
3644,噶,(phonetic),1
3645,黏,sticky,1
3646,蕃,flourishing/to reproduce,1
3647,弼,assist,1
3648,驿,remount stations,1
3649,淄,black/name of a river,1
3650,饺,dumplings with meat filling,1
3651,踞,be based upon/squat,1
3652,韬,bow case/to cover,1
3653,婷,graceful,1
3654,唆,incite/suck,1
3655,蜒,slug,1
3656,偎,to cuddle,1
3657,榨,salted vegetable/to extract,1
3658,漉,strain liquids,1
3659,碉,Tibetan stone house,1
3660,皈,comply with/follow,1
3661,矜,boast/esteem/sympathize,1
3662,笈,trunks (for books),1
3663,枷,cangue,1
3664,鲨,shark,1
3665,蹑,chase/step/tread,1
3666,瀚,ocean/vastness,1
3667,酪,Chinese cream/cheese,1
3668,谑,,1
3669,癖,habit/hobby,1
3670,烬,ashes/embers,1
3671,揩,wipe,1
3672,炙,broil,1
3673,蜷,Melania libertina/wriggle (as a worm),1
3674,侏,dwarf,1
3675,凋,withered,1
3676,漪,ripple,1
3677,悻,angry,1
3678,蹋,step on,1
3679,讪,abuse/slander,1
3680,搐,lead/pull,1
3681,碘,iodine,1
3682,帛,silk,1
3683,诠,explain/comment,1
3684,碾,stone roller,1
3685,擂,"beat/to grind, beat (a drum)",1
3686,苯,benzene,1
3687,诃,to blame/ridicule in loud voice,1
3688,铎,large ancient bell,1
3689,戊,5th heavenly stem,1
3690,荀,(surname),1
3691,驹,colt,1
3692,攫,seize (bird or animal),1
3693,憬,awaken,1
3694,哽,choking,1
3695,踵,arrive/follow/heel,1
3696,蟒,Python molurus,1
3697,漾,d (23rd)/ripples,1
3698,啧,(interj. of admiration or of disgust)/to click one's tongue/to attempt to (find an opportunity to) speak,1
3699,吮,to suck,1
3700,楠,Machilus nanmu,1
3701,氟,fluorine,1
3702,怂,arouse,1
3703,叼,(v) hold sth in the mouth,1
3704,竣,complete/finish,1
3705,偕,"in company with, in company with",1
3706,漩,eddy,1
3707,蹭,"rub, rub against/walk slowly",1
3708,翌,bright/tomorrow,1
3709,臆,feelings/opinion/thoughts,1
3710,挝,beat,1
3711,绚,adorned/swift,1
3712,崽,young of animals,1
3713,糜,dissolved/rice-gruel/wasted,1
3714,瘢,mark/scar on the skin,1
3715,跤,bones of leg/wrestle,1
3716,阑,door-screen/exhausted/late,1
3717,恬,"quiet, calm, tranquil, peaceful",1
3718,豢,feed pigs and dogs/to rear,1
3719,汶,name of a river,1
3720,跷,raise one's foot,1
3721,琵,(mus. instr.),1
3722,憨,silly/simple-minded,1
3723,蜗,,1
3724,螅,(intestinal worm),1
3725,惴,anxious/worried,1
3726,戟,a lance with two points,1
3727,匮,(surname)/lacking/empty/exhausted,1
3728,恙,sickness,1
3729,抿,purse up (lips)/to smooth,1
3730,桢,evergreen shrub,1
3731,笺,letter/note-paper,1
3732,蛤,"clam, frog/toad",1
3733,瞳,pupil of the eye,1
3734,藥,,1
3735,瓢,dipper/ladle,1
3736,衹,,1
3737,秤,"steel yard/scales, steelyard",1
3738,跺,(v) stamp one's foot,1
3739,潦,flooded/heavy rain,1
3740,芹,Chinese celery,1
3741,哒,(phonetic)/command to a horse/clatter (of horses' hoofs),1
3742,饬,keep in order/stern/to order/direct,1
3743,栩,Quercus serrata,1
3744,曦,light of day,1
3745,骷,skeleton,1
3746,嫡,first wife/son of first wife,1
3747,卤,"brine/salt/gravy, crass/halogen/salt/brine",1
3748,丕,grand,1
3749,鬓,temples/hair on the temples,1
3750,梓,Catalpa kaempferi,1
3751,嗖,,1
3752,惦,"think of, remember, miss",1
3753,浚,deepen/enlighten/profound,1
3754,咔,,1
3755,藐,despise/small,1
3756,荃,(fragrant plant),1
3757,唧,(onomat.)/to pump (water),1
3758,玺,ruler's seal,1
3759,汛,high water/sprinkle water,1
3760,铐,"shackles, manacle",1
3761,髅,skull,1
3762,渤,Gulf of Chili,1
3763,皿,,1
3764,箍,hoop/bind with hoops,1
3765,馅,stuffing/forcemeat,1
3766,汾,name of a river,1
3767,戍,garrison,1
3768,痔,piles/hemorrhoid,1
